disc_number;duration_ms;explicit;track_number;track_popularity;track_id;track_name;audio_features_danceability;audio_features_energy;audio_features_key;audio_features_loudness;audio_features_mode;audio_features_speechiness;audio_features_acousticness;audio_features_instrumentalness;audio_features_liveness;audio_features_valence;audio_features_tempo;audio_features_id;audio_features_time_signature;album_id;album_name;album_release_date;album_total_tracks
1;238693;FALSO;6;78;30Y4CV7A6YqtQtTTo7Ue4j;Mean (Taylor's Version);524;692;40;-3866;1;369;311;0;192;621;163874;30Y4CV7A6YqtQtTTo7Ue4j;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;267653;FALSO;7;77;6dTA6y0C2ReQklntzZl8l3;The Story Of Us (Taylor's Version);515;781;40;-2608;1;535;192;0;54;57;139846;6dTA6y0C2ReQklntzZl8l3;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;292920;FALSO;8;73;2EFZ9emtKWEglWUQGEQ3P9;Never Grow Up (Taylor's Version);685;323;20;-7103;1;289;851;0;198;569;125058;2EFZ9emtKWEglWUQGEQ3P9;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;353253;FALSO;9;87;3sW3oSbzsfecv9XoUdGs7h;Enchanted (Taylor's Version);505;532;80;-3526;1;265;12;0;149;216;81907;3sW3oSbzsfecv9XoUdGs7h;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;220306;FALSO;10;80;0NwGC0v03ysCYINtg6ns58;Better Than Revenge (Taylor's Version);496;885;110;-2969;0;803;886;0;191;665;145863;0NwGC0v03ysCYINtg6ns58;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;301221;FALSO;11;71;12nBPF4Rh4XLFJV0YLN7uj;Innocent (Taylor's Version);522;598;10;-5327;0;284;101;0;152;149;133627;12nBPF4Rh4XLFJV0YLN7uj;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;245413;FALSO;12;76;4tMzIAFTFdqGBQLdfbPces;Haunted (Taylor's Version);427;915;50;-1909;1;619;667;0;221;355;162201;4tMzIAFTFdqGBQLdfbPces;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;369120;FALSO;13;76;59KOoHFcw5XfICnO57holu;Last Kiss (Taylor's Version);55;366;100;-846;1;276;447;0.000443;101;16;79401;59KOoHFcw5XfICnO57holu;30;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;317960;FALSO;14;80;4hqJ4bSlYJOXb6Z4SRmzxs;Long Live (Taylor's Version);375;65;0;-4031;1;402;122;0;189;752;20389;4hqJ4bSlYJOXb6Z4SRmzxs;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;235803;FALSO;15;73;3yNJkriPzWjkkDAWHIAVUq;Ours (Taylor’s Version);535;488;0;-8261;1;278;449;0;111;348;159813;3yNJkriPzWjkkDAWHIAVUq;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;274945;FALSO;16;70;4evLyY5Ue1Wesc61t2KXAU;Superman (Taylor’s Version);533;742;70;-3473;1;303;31;0;108;356;13193;4evLyY5Ue1Wesc61t2KXAU;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;266466;FALSO;17;76;4e3ZNTAV6PCrdYMUrUlMpQ;Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault);547;855;70;-47;1;597;164;0;144;282;131073;4e3ZNTAV6PCrdYMUrUlMpQ;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;252385;FALSO;18;75;0zo975x58DlXbZllWvfYhg;When Emma Falls in Love (Taylor’s Version) (From The Vault);474;763;20;-4632;1;505;159;0;138;231;78133;0zo975x58DlXbZllWvfYhg;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;273186;FALSO;19;84;5kHMfzgLZP95O9NBy0ku4v;I Can See You (Taylor’s Version) (From The Vault);694;764;60;-4893;1;337;586;0;608;819;123044;5kHMfzgLZP95O9NBy0ku4v;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;306062;FALSO;20;76;4ABYxlb92WBIjHu7TIKmml;Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault);576;57;70;-7925;1;434;362;0;668;378;147803;4ABYxlb92WBIjHu7TIKmml;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;311765;FALSO;21;77;4s8BIKx4Zh6ryAEz8RTlaU;Foolish One (Taylor’s Version) (From The Vault);671;588;70;-4675;1;299;617;0;111;543;96965;4s8BIKx4Zh6ryAEz8RTlaU;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;321396;FALSO;22;76;1HCdems7PQZRj42QDWLA0A;Timeless (Taylor’s Version) (From The Vault);624;585;30;-5847;1;328;3;0;916;65;142883;1HCdems7PQZRj42QDWLA0A;40;5AEDGbliTTfjOB8TSm1sxt;Speak Now (Taylor's Version);7/07/2023;22
1;202395;VERDADERO;1;70;24emu3sabKISjRkrys28jq;Lavender Haze;735;454;70;-10516;0;876;236;113;133;751;97043;24emu3sabKISjRkrys28jq;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;218270;VERDADERO;2;70;6qxvy9Pe4RJIq5JBVbbwbS;Maroon;65;397;70;-8237;1;365;609;0.000014;89;382;108055;6qxvy9Pe4RJIq5JBVbbwbS;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;200690;FALSO;3;70;5qIHFdkW6phMsTZlN2g8Lc;Anti-Hero;637;649;40;-659;1;584;115;0.000122;147;497;96935;5qIHFdkW6phMsTZlN2g8Lc;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
1;256124;VERDADERO;4;68;7GA86Uo2jYbj8vIXe2nyWd;Snow On The Beach (feat. Lana Del Rey);653;331;90;-13534;1;39;705;13;116;166;110014;7GA86Uo2jYbj8vIXe2nyWd;40;1fnJ7k0bllNfL1kVdNVW1A;Midnights (The Til Dawn Edition);26/05/2027;24
"1,194206,False,5,70,6PQOU00xWNrGwCZzboriXy,""You're On Your Own, Kid"",0.694,0.386,2.0,-10.312,1,0.0597,0.423,1.05e-05,0.126,0.39,120.044,6PQOU00xWNrGwCZzboriXy,4.0,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24";;;;;;;;;;;;;;;;;;;;;;;
